,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_booster,param_gamma,param_max_depth,param_n_estimators,param_objective,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.26126713752746583,0.004393674273096471,0.013366460800170898,0.0030575743542832936,gbtree,0.0,6,100,binary:logistic,0.5,"{'booster': 'gbtree', 'gamma': 0, 'max_depth': 6, 'n_estimators': 100, 'objective': 'binary:logistic', 'subsample': 0.5}",0.7840986977381769,0.7853692201518289,0.8083714846304775,0.7983539094650206,0.784688995215311,0.7921764614401631,0.009675645622754754,141
1,0.2033689022064209,0.010811396848535399,0.014187431335449219,0.003361200320914933,gbtree,0.0,6,100,binary:logistic,1.0,"{'booster': 'gbtree', 'gamma': 0, 'max_depth': 6, 'n_estimators': 100, 'objective': 'binary:logistic', 'subsample': 1}",0.7898351648351648,0.7969717825189263,0.8090185676392573,0.8161865569272977,0.7997275204359673,0.8023479184713226,0.009255742021452223,1
2,0.43364758491516114,0.007447232254512862,0.018070268630981445,0.0031117253270967486,gbtree,0.0,6,200,binary:logistic,0.5,"{'booster': 'gbtree', 'gamma': 0, 'max_depth': 6, 'n_estimators': 200, 'objective': 'binary:logistic', 'subsample': 0.5}",0.7824897400820794,0.7776243093922652,0.7986710963455149,0.7900894700619409,0.779891304347826,0.7857531840459253,0.007704104592068417,345
3,0.3082756996154785,0.017947483151679353,0.016074085235595705,0.004451226152440499,gbtree,0.0,6,200,binary:logistic,1.0,"{'booster': 'gbtree', 'gamma': 0, 'max_depth': 6, 'n_estimators': 200, 'objective': 'binary:logistic', 'subsample': 1}",0.7843406593406593,0.801658604008293,0.8122503328894807,0.7994505494505495,0.7858117326057299,0.7967023756589425,0.01044292841236233,63
4,0.6166557788848877,0.020839247513786022,0.02225775718688965,0.003215224177704604,gbtree,0.0,6,300,binary:logistic,0.5,"{'booster': 'gbtree', 'gamma': 0, 'max_depth': 6, 'n_estimators': 300, 'objective': 'binary:logistic', 'subsample': 0.5}",0.7702888583218707,0.7753973738769868,0.7994652406417112,0.7936726272352133,0.7752885268160217,0.7828225253783607,0.011521210879761382,372
5,0.4606987476348877,0.018617212027336592,0.020714187622070314,0.0019498691683852828,gbtree,0.0,6,300,binary:logistic,1.0,"{'booster': 'gbtree', 'gamma': 0, 'max_depth': 6, 'n_estimators': 300, 'objective': 'binary:logistic', 'subsample': 1}",0.7832647462277091,0.7922168172341905,0.8108825481088254,0.7958904109589041,0.7855191256830601,0.7935547296425379,0.009777048627225629,125
6,0.824095630645752,0.017042233694020883,0.025216436386108397,0.0035399377768307334,gbtree,0.0,6,400,binary:logistic,0.5,"{'booster': 'gbtree', 'gamma': 0, 'max_depth': 6, 'n_estimators': 400, 'objective': 'binary:logistic', 'subsample': 0.5}",0.7625602202339986,0.7823691460055097,0.7954996690933157,0.7928176795580111,0.7837837837837838,0.7834060997349238,0.011581026422881363,365
7,0.590571928024292,0.010399675103074144,0.02828216552734375,0.002508428898605812,gbtree,0.0,6,400,binary:logistic,1.0,"{'booster': 'gbtree', 'gamma': 0, 'max_depth': 6, 'n_estimators': 400, 'objective': 'binary:logistic', 'subsample': 1}",0.7840440165061898,0.7875432525951557,0.8039867109634552,0.7925824175824175,0.7827868852459017,0.7901886565786239,0.007689699334401393,148
8,0.2849210262298584,0.01637897937429612,0.015822315216064455,0.003809323736047689,gbtree,0.0,7,100,binary:logistic,0.5,"{'booster': 'gbtree', 'gamma': 0, 'max_depth': 7, 'n_estimators': 100, 'objective': 'binary:logistic', 'subsample': 0.5}",0.7738831615120275,0.7735719201651755,0.8093023255813954,0.7887901572112098,0.7807560137457045,0.7852607156431025,0.013242544945156693,348
9,0.22401371002197265,0.0046381906248777385,0.014687538146972656,0.002868800515326481,gbtree,0.0,7,100,binary:logistic,1.0,"{'booster': 'gbtree', 'gamma': 0, 'max_depth': 7, 'n_estimators': 100, 'objective': 'binary:logistic', 'subsample': 1}",0.786254295532646,0.7869986168741355,0.8090485695276114,0.8077455048409405,0.7917525773195876,0.7963599128189841,0.010016173098232708,65
10,0.5531736850738526,0.003566670103420605,0.019460582733154298,0.003809619482197659,gbtree,0.0,7,200,binary:logistic,0.5,"{'booster': 'gbtree', 'gamma': 0, 'max_depth': 7, 'n_estimators': 200, 'objective': 'binary:logistic', 'subsample': 0.5}",0.7674418604651163,0.7755385684503128,0.8021178027796162,0.7866394001363326,0.7764866712235133,0.7816448606109783,0.011913905497043657,394
11,0.40530967712402344,0.014237920173275527,0.016931819915771484,0.003279752436006337,gbtree,0.0,7,200,binary:logistic,1.0,"{'booster': 'gbtree', 'gamma': 0, 'max_depth': 7, 'n_estimators': 200, 'objective': 'binary:logistic', 'subsample': 1}",0.7677463818056512,0.7885952712100139,0.8138759172781854,0.8079561042524005,0.7853185595567868,0.7926984468206075,0.01658424372659912,139
12,0.8200029373168946,0.011717439833937278,0.029009532928466798,0.0035613025386848547,gbtree,0.0,7,300,binary:logistic,0.5,"{'booster': 'gbtree', 'gamma': 0, 'max_depth': 7, 'n_estimators': 300, 'objective': 'binary:logistic', 'subsample': 0.5}",0.7617079889807162,0.7684865238424327,0.7989347536617842,0.783728813559322,0.7757909215955984,0.7777298003279707,0.012895999809344727,464
